,s,t,d,s
668,6,22,5.516810793110877,27.5
669,6,24,23.374193957257877,26.5
670,6,25,11.447233542142527,26.5
671,6,26,6.708083136658815,26.5
672,6,29,9.182028672536736,35.0
673,6,30,21.036923652531183,35.0
674,6,31,1643.3625511644234,35.0
675,6,32,32.22554015024047,26.5
676,6,33,11.922467066568942,26.5
677,6,34,13.158768414243454,26.5
678,6,35,14.615536673677715,26.5
679,6,36,16.140180566939442,26.5
680,6,37,15.51921829318077,26.5
681,6,38,29.365494705150887,35.0
682,6,39,14.583579376461694,35.0
683,6,40,10.272597558251913,26.5
684,6,42,23.71890296142191,26.5
685,6,43,21.691557427405183,26.5
686,6,45,13.896344304412501,26.5
687,6,46,35.91795704459261,35.0
688,6,48,14.46370294335259,26.5
689,6,49,12.801511750376156,26.5
690,6,50,18.388271704095907,26.5
691,6,51,36.077671085448436,26.5
692,6,52,11.005302960006226,26.5
693,6,53,27.614240702255653,26.5
694,6,54,10.860097583292882,26.5
695,6,55,6.839569415731225,35.0
696,6,56,23.554506456727665,26.5
697,6,57,23.554506456727665,26.5
698,6,58,33.4246434164608,26.5
699,6,59,29.992587464103522,26.5
700,6,60,29.774635531129654,26.5
701,6,61,12.555395260331796,26.5
702,6,62,12.561340418367424,26.5
703,6,63,18.886375713744396,27.5
704,6,64,32.52940797717423,35.0
705,6,65,11.956658854507191,26.5
706,6,66,12.978828751870017,26.5
707,6,67,4.900700396947617,27.5
708,6,68,17.50072621012713,26.5
709,6,69,27.484957386016124,26.5
710,6,70,24.365728413163264,26.5
711,6,73,29.25032796196721,35.0
712,6,74,24.577594916102463,26.5
713,6,75,24.80200729597943,26.5
714,6,76,16.962637827156367,27.5
715,6,77,15.914855552747435,27.5
716,6,78,30.690131332033708,26.5
717,6,79,15.500349576011839,26.5
718,6,80,14.669642173460526,26.5
719,6,81,37.49399027049686,27.5
720,6,82,21.643275524281755,26.5
721,6,85,10.55621763284347,26.5
722,6,86,26.15277896762853,35.0
723,6,87,12.908170115468186,26.5
724,6,88,11.824248654818993,26.5
725,6,89,9.411834991734445,26.5
726,6,90,16.62353259371961,26.5
727,6,91,11.164714315244549,35.0
728,6,92,27.606239370440612,27.5
729,6,94,32.60949179957255,26.5
730,6,95,22.647644075787095,27.5
731,6,97,12.286887695121298,26.5
732,6,98,27.190361958570158,35.0
733,6,99,10.066924204280225,35.0
734,6,100,17.903853420439678,26.5
735,6,101,33.839103602655726,35.0
736,6,102,18.599941735310235,26.5
737,6,106,10.653686498370261,26.5
738,6,107,16.247151656967233,26.5
739,6,108,7.7161177339776845,35.0
740,6,109,9.272561066178659,35.0
741,6,110,7.992429296409373,35.0
742,6,111,8.299854692970573,26.5
743,6,112,16.518310223594682,26.5
744,6,113,15.409825315757418,26.5
745,6,114,15.233463041576771,26.5
746,6,116,26.43831156719751,26.5
747,6,117,21.499820915580546,35.0
748,6,119,28.372545265397342,26.5
749,6,120,29.322679187645623,26.5
750,6,122,27.96873957399759,35.0
751,6,123,9.273900004268105,35.0
752,6,124,20.241797149573475,35.0
753,6,125,14.591324296706016,26.5
754,6,126,27.86094054965554,26.5
755,6,127,32.020756696607805,26.5
756,6,128,32.17701374694994,26.5
757,6,129,22.73171496830508,26.5
758,6,130,24.913552351011383,35.0
759,6,131,26.800838751831748,35.0
760,6,132,24.506347300621485,35.0
761,6,133,9.29661504836036,26.5
762,6,134,23.036849222600903,35.0
763,6,135,23.267926621147346,35.0
764,6,136,32.95592507011886,26.5
765,6,137,16.904696176897385,26.5
766,6,138,25.10213830510849,26.5
767,6,139,27.381508842719246,35.0
768,6,140,20.07203851298754,26.5
769,6,141,20.17910765045211,26.5
770,6,143,20.24827305311246,26.5
